Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
कला का नाम क्या है?,सचित्र एल्बम पत्ता,कला का शीर्षक क्या है?,"""पहाड़ियों में शिविर तैयार किया जा रहा है"", अकबरनामा की पांडुलिपि से फोलियो। डेविस एल्बम से फोलियो",कला का निर्माण कब हुआ था?,सत्रवहीं शताब्दी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
कलाकृति का शीर्षक क्या है?,"""प्रिंस फ़ेस्टिंग ऑन अ बालकनी"", डेविस एल्बम से फोलियो",कलाकृति कब बनाई गई थी?,17वीं सदी के अंत से 18वीं सदी की शुरुआत तक,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",पेंटिंग का आकार क्या है?,एच. 9 1/2 इंच (24.1 सेमी)\r\nW. 6 3/16 इंच (15.7 सेमी)
कला का शीर्षक क्या है?,"डेविस एल्बम से ""वीमेन विजिटिंग ए हर्मिट"", फोलियो",कला का वर्गीकरण क्या है?,कोडीस,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",18वीं सदी की मुगल चित्रकला में मुलाक़ात दृश्यों का क्या महत्व है?,"पवित्र पुरुषों के दर्शन के दृश्य एक लोकप्रिय शैली बन गए, जिसमें पुरुष और महिला दोनों आगंतुकों को चित्रित किया गया।"
कला का नाम क्या है?,"इलस्ट्रेटेड एल्बम लीफ, ""नाइट सीन: ग्रुप लिसनिंग टू म्यूजिक"", डेविस एल्बम से फोलियो",कला का माध्यम क्या है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कला का निर्माण कब हुआ था?,17वीं सदी के अंत में,कला में प्रयुक्त रोशनी तकनीक क्या है?,केंद्र में एक डबल कैंडलस्टैंड द्वारा रोशनी
कला का नाम क्या है?,कपड़ा टुकड़ा,कपड़ा टुकड़ा कब बनाया गया था?,16 वीं शताब्दी,टुकड़ा बनाने के लिए उपयोग की जाने वाली सामग्री और तकनीकें क्या हैं?,"कपास, सादा बुनाई; ब्लॉक-प्रिंटेड और पेंटेड, मॉर्डेंट और रेजिस्टेंस डाइड",कपड़ा टुकड़ा कहाँ खोजा गया था?,"फ़ुस्टैट के पास, मिस्र"
कलाकृति का शीर्षक क्या है?,कपड़ा टुकड़ा,कलाकृति कब बनाई गई थी?,13वीं-14वीं सदी,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित और/या चित्रित, रंगे हुए",कलाकृति की खोज कहाँ हुई थी?,"फ़ुस्टैट के पास, मिस्र"
इस कलाकृति का नाम क्या है?,पत्तेदार स्क्रॉल के साथ कपड़ा,कपड़ा कब बनाया गया था?,13वीं-14वीं सदी,कपड़ा उद्योग में प्रयुक्त मुख्य सामग्री क्या है?,कपास,कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट के पास, मिस्र"
यह किस प्रकार की कला है?,कपड़ा टुकड़ा,इस कला को बनाने के लिए किन सामग्रियों और तकनीकों का उपयोग किया जाता है?,"कपास, सादा बुनाई; चित्रित और/या मुद्रित, मार्डेंट और प्रतिरोधी रंगे हुए",यह कला कहाँ और कब बनाई गई थी?,"गुजरात, भारत, 15वीं-16वीं शताब्दी में",इस कला में कौन से सांस्कृतिक प्रभाव स्पष्ट हैं?,"जैन पांडुलिपि चित्रण, चेकर्ड पैटर्निंग और पुष्प पदकों से प्रमाणित है"
कला का नाम क्या है?,अरेबेस्क और पामेट डिज़ाइन वाला कपड़ा।,कला का निर्माण कब हुआ था?,14 वीं शताब्दी।,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, मार्डेंट रंगे हुए।",कला का निर्माण कहाँ हुआ था?,"गुजरात, भारत."
इस कपड़ा टुकड़े को बनाने के लिए उपयोग की जाने वाली प्राथमिक सामग्री क्या है?,कपास,टुकड़े को सजाने के लिए कौन सी तकनीक अपनाई गई?,ब्लॉक-प्रिंटिंग और मॉर्डेंट रंगाई,इसके सजावटी रूपांकनों के आधार पर इस वस्त्र की उत्पत्ति क्या मानी जाती है?,गुजरात,यह कपड़ा टुकड़ा मिस्र तक कैसे पहुंचा?,लाल सागर समुद्री व्यापार नेटवर्क के माध्यम से
कलाकृति का माध्यम क्या है?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित और/या पेंटेड, मॉर्डेंट और प्रतिरोधी रंगे हुए",कलाकृति किस सदी में बनाई गई थी?,16 वीं शताब्दी,कलाकृति में प्रयुक्त लाल रंग का क्या महत्व है?,"लाल रंग की जीवंतता भारतीय शहतूत से आती है, जिसका उपयोग आमतौर पर गुजरात से जुड़ी रंगाई प्रथाओं में किया जाता था।",फ़ुस्टैट में इस वस्त्र की खोज क्या दर्शाती है?,"कपड़ा भारत और फ़ुस्टैट (ओल्ड काहिरा) के बीच हिंद महासागर के समुद्री व्यापार और यात्रा संबंधों के साक्ष्य के रूप में कार्य करता है, जो सोलहवीं शताब्दी के दौरान उनके अंतर-क्षेत्रीय और अंतर-सांस्कृतिक संबंधों को उजागर करता है।"
इस कपड़ा टुकड़े को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"कपास, सादा बुनाई; मार्डेंट और प्रतिरोधी रंगे",कपड़ा टुकड़ा कब बनाया गया था?,16वीं-17वीं शताब्दी,कपड़ा टुकड़ा किस क्षेत्र में उत्पादित किया गया था?,"गुजरात, भारत",इस टुकड़े में नील रंगों के प्रयोग का क्या महत्व है?,इंडिगो रंगों का साहसिक उपयोग गुजराती कपड़ा डिजाइन की विशेषता है और 16वीं और 17वीं शताब्दी के दौरान इन रंगों की लोकप्रियता का उदाहरण है।
यह किस प्रकार की कला है?,कपड़ा टुकड़ा,यह कला कब बनाई गई थी?,13वीं-14वीं सदी,यह कला कहाँ पाई गई?,"फ़ुस्टैट, मिस्र",इस कला पर डिज़ाइन बनाने के लिए किन तकनीकों का उपयोग किया गया?,ब्लॉक-प्रिंटिंग और मॉर्डेंट रंगाई
कला का नाम क्या है?,कपड़ा टुकड़ा,कला में प्रयुक्त सामग्री और तकनीक क्या है?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, मार्डेंट रंगे हुए",वह समयावधि क्या है जिसके दौरान कला का निर्माण हुआ?,14वीं-15वीं सदी,कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट के पास, मिस्र (पुराना काहिरा)"
कला वस्तु का नाम क्या है?,कपड़ा टुकड़ा,कपड़ा बनाने के लिए किन तकनीकों का उपयोग किया गया?,"ब्लॉक-मुद्रित, मार्डेंट रंगे हुए",कपड़ा उद्योग का काल किस सदी का है?,15th शताब्दी,कपड़ा कहाँ पाया गया था?,"फ़ुस्टैट, मिस्र"
इस कपड़ा टुकड़े को बनाने के लिए किस तकनीक का उपयोग किया जाता है?,ब्लॉक-प्रिंटिंग और मॉर्डेंट रंगाई,कपड़ा टुकड़ा किस कालखंड से संबंधित है?,13वीं-14वीं सदी,कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट, मिस्र (पुराना काहिरा)",कपड़ा टुकड़ा बनाने के लिए किस सामग्री का उपयोग किया जाता है?,कपास
कलाकृति का नाम क्या है?,कपड़ा टुकड़ा,डिज़ाइन बनाने के लिए किस तकनीक का उपयोग किया जाता है?,"ब्लॉक-प्रिंटिंग, मॉर्डेंट, और रंगाई का विरोध",कपड़ा टुकड़ा किस काल का है?,15वीं-16वीं शताब्दी,कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट के पास, मिस्र"
कपड़ा टुकड़ा बनाने के लिए किस सामग्री और तकनीक का उपयोग किया जाता है?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, प्रतिरोधी रंगे।",वह अनुमानित समय अवधि क्या है जब टुकड़ा बनाया गया था?,13वीं-14वीं सदी.,कपड़े के टुकड़े का आकार क्या है?,"एल. 10 इंच (25.4 सेमी), डब्ल्यू. 11 1/2 इंच (29.2 सेमी)।",टुकड़े के डिज़ाइन में कुछ सांस्कृतिक प्रभाव क्या प्रतिबिंबित होते हैं?,जैन शैलीगत परंपराएँ आमतौर पर गुजरात से जुड़ी वास्तुकला और चित्रित पांडुलिपियों में पाई जाती हैं।
इस कपड़ा टुकड़े को बनाने के लिए किस सामग्री और तकनीक का उपयोग किया गया है?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, प्रतिरोधी रंगे।",कपड़े के टुकड़े की अनुमानित आयु क्या है?,13वीं-14वीं सदी.,कपड़ा टुकड़ा कहाँ खोजा गया था?,"फ़ुस्टैट के पास, मिस्र।",कपड़ा टुकड़े पर सजावटी डिजाइनों में कौन से सांस्कृतिक प्रभाव स्पष्ट हैं?,"जैन वास्तुकला और चित्रित पांडुलिपियाँ गुजरात, भारत में निर्मित हुईं।"
कला का नाम क्या है?,कपड़ा टुकड़ा,कला का निर्माण कब हुआ था?,13वीं-14वीं सदी,कला किस तकनीक से बनाई गई थी?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, प्रतिरोध-रंजित",कला कहाँ पाई गई?,"फ़ुस्टैट, मिस्र के पास"
कला का शीर्षक क्या है?,कपड़ा टुकड़ा,कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"कपास, सादा बुनाई; ब्लॉक-मुद्रित, प्रतिरोधी रंगे",कला का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट के पास, मिस्र",कला खंड का क्या महत्व है?,यह मध्यकाल के दौरान समुद्री व्यापार और यात्रा के माध्यम से भारत और मिस्र के बीच अंतर-क्षेत्रीय और अंतर-सांस्कृतिक संबंधों पर प्रकाश डालता है।
कलाकृति का नाम क्या है?,नीले और सफेद पैटर्न वाला कपड़ा,कपड़ा खंड का निर्माण किस काल में हुआ था?,13वीं-14वीं सदी,कपड़ा टुकड़ा किस देश से सम्बंधित है?,"भारत, विशेष रूप से गुजरात प्रांत",कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट के पास, मिस्र"
मेटा डेटा में किस प्रकार की वस्तु का वर्णन किया गया है?,कपड़ा टुकड़ा,कपड़ा टुकड़ा किस सदी में बनाया गया था?,14 वीं शताब्दी,कपड़ा टुकड़ा बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"कपास, सादा बुनाई; मुद्रित या चित्रित, सुशोभित और रंगे हुए प्रतिरोधी",कपड़े का टुकड़ा कहाँ पाया गया था?,"फ़ुस्टैट, मिस्र"
यह कढ़ाई वाला कपड़ा किस प्रकार का परिधान है?,जामा (लंबी बाजू का वस्त्र),कपड़ा बनाने के लिए किस सामग्री का उपयोग किया जाता है?,कपास और रेशम,वस्त्र पर कढ़ाई किया गया समग्र पैटर्न क्या है?,क्रमबद्ध पंक्तियों में हरी पत्तियों के साथ गुलाबी फूल,परिधान के किन भागों में सघन कढ़ाई पैटर्न है?,"कॉलर, आस्तीन की सीमाएँ, और लैपेट के सिरे हरी लताओं और गुलाबी फूलों से सजे हैं"
कला वस्तु का नाम क्या है?,पैनल,कला वस्तु किस शताब्दी में बनाई गई थी?,सत्रवहीं शताब्दी,कला वस्तु किस सामग्री से बनी है?,"कपास; सादा बुनाई, रंगे हुए और रंगे हुए, प्रतिरोधी रंगे हुए",कला वस्तु का संभावित मूल उपयोग क्या है?,तम्बू अस्तर (क़नत)
कला का नाम क्या है?,कालीन का टुकड़ा,कालीन का निर्माण किस वर्ष के आसपास हुआ था?,सीए। 1650,संभवतः कालीन कहाँ बनाया गया था?,कश्मीर या लाहौर,कालीन किससे बना होता है?,"रेशम, पश्मीना ऊन, और असममित रूप से बुना हुआ ढेर"
कला कृति का नाम क्या है?,तम्बू अस्तर का टुकड़ा,कला कृति कब बनाई गई थी?,18 वीं सदी,कलाकृति को बनाने के लिए किन सामग्रियों का उपयोग किया गया था?,"कपास, रेशम",कला कृति का इच्छित उपयोग क्या था?,"एक तम्बू के आंतरिक भाग को सजाने के लिए, अभियानों या मौसमी प्रवासों के दौरान उपयोग किए जाने वाले अस्थायी रहने की जगह को एक सजावटी तत्व प्रदान करना।"
यह किस प्रकार की कला है?,कपड़ा टुकड़ा,कला का शीर्षक क्या है?,चिन्ट्ज़ का कपड़ा पैनल,इसे कब बनाया गया था?,18 वीं सदी,इस कला के लिए किस माध्यम का उपयोग किया जाता है?,कपास; मुद्रित
कलाकृति का नाम क्या है?,मेडेलियन कालीन डिज़ाइन के साथ लटका हुआ,कलाकृति कब बनाई गई थी?,1628-58,कलाकृति का माध्यम क्या है?,रेशम; मखमल काटें,कलाकृति का वर्गीकरण क्या है?,कपड़ा-बुना हुआ
कलाकृति का शीर्षक क्या है?,सैश (पटका),कलाकृति कब बनाई गई थी?,17वीं सदी के अंत में,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,कपास और रेशम,कलाकृति कैसे पहनी गई थी?,शरीर के सामने प्रदर्शित फूलों की सीमाओं के साथ कमर के चारों ओर बंधा हुआ
कला का माध्यम क्या है?,"चमड़ा और कागज़ की लुगदी; चित्रित, सोने का पानी चढ़ा हुआ, और रोगनयुक्त।",बुकबाइंडिंग का क्या महत्व है?,यह अकबर काल का एक दुर्लभ उदाहरण है।,कला क्या दर्शाती है?,शिकारी शिकार का पीछा कर रहे हैं और उस पर हमला कर रहे हैं।,कला का आंतरिक भाग किससे सजाया गया है?,हरा और सुनहरा कार्टूच.
कला का नाम क्या है?,पैनल,कला का निर्माण किस वर्ष में हुआ था?,1648,कला में प्रयुक्त सामग्री क्या हैं?,"लिनन, रेशम, धातु लपेटा हुआ धागा",कला का मुख्य विषय क्या है?,पुराने नियम के दृश्य
कला का नाम क्या है?,आर्चर की अंगूठी,कला का निर्माण कब हुआ था?,सत्रवहीं शताब्दी,कला बनाने के लिए किस सामग्री का उपयोग किया जाता है?,नफ्रैट,आर्चर रिंग का उद्देश्य क्या था?,तीरंदाजी के दौरान तीरंदाज के अंगूठे को धनुष की प्रत्यंचा के जोर से बचाने के लिए।
कला का नाम क्या है?,बिस्तर का कवर या दीवार पर लटकाना,कला का निर्माण कब हुआ था?,सत्रवहीं शताब्दी,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"कपास, रेशम; सादा बुनाई, कढ़ाई, मूल रूप से रजाई बना हुआ",कला संभवतः कहाँ बनाई गई थी?,"गुजरात, भारत"
एल्बम लीफ का कलाकार कौन है?,बिचिट्र,एल्बम लीफ का शीर्षक क्या है?,"""राजा बिक्रमजीत (सुंदर दास) का चित्र"", शाहजहाँ एल्बम से फोलियो",एल्बम लीफ का रेक्टो कब बनाया गया था?,सीए। 1620,एल्बम लीफ बनाने के लिए किस माध्यम का उपयोग किया गया था?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
कलाकृति का कलाकार कौन है?,गोवर्धन,कलाकृति किस माध्यम से बनी है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",दरवेश के चिह्नों का क्या महत्व है?,वे ईश्वर के प्रति निष्ठा और प्रेम का प्रतिनिधित्व करते हैं।,सूफियों के अनुसार यह छवि किसका प्रतीक है?,निम्नतर प्रवृत्तियों के विरुद्ध संघर्ष।
कलाकृति का नाम क्या है?,"""दरवेश विद अ लायन,"" शाहजहाँ एल्बम से फोलियो",कलाकार कौन है?,पदारथ,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति किस कालखंड का प्रतिनिधित्व करती है?,वर्सो: सीए. 1630; रेक्टो: सीए. 1500
कलाकृति का कलाकार कौन है?,मंसूर,कलाकृति के निर्माण में किस माध्यम का उपयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति का आकार क्या है?,एच. 15 3/8 इंच (39.1 सेमी) x डब्ल्यू. 10 1/16 इंच (25.6 सेमी),कलाकृति का शीर्षक क्या है?,"''लाल सिर वाला गिद्ध और लंबी चोंच वाला गिद्ध'', शाहजहाँ एल्बम का फोलियो'"
कला में किस प्रकार के जानवर को चित्रित किया गया है?,नीलगाय (ब्लू बुल),कला का निर्माण किसने किया?,मंसूर,कला के लिए किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कला का आकार क्या है?,एच. 15 5/16 इंच (38.9 सेमी) x डब्ल्यू. 10 1/16 इंच (25.6 सेमी)
कलाकृति का नाम क्या है?,"""ग्रेट हॉर्नबिल"", शाहजहाँ एल्बम से फोलियो",कलाकार कौन है?,मंसूर,कलाकृति कब बनाई गई थी?,रेक्टो: सीए. 1540; वर्सो: सीए. 1615-20,कलाकृति में प्रयुक्त सामग्री क्या हैं?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
इस कृति का कलाकार कौन है?,मंसूर,इस टुकड़े में किस माध्यम का उपयोग किया गया है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",टुकड़े का अनुमानित आकार क्या है?,एच. 15 3/8 इंच (39.1 सेमी) x डब्ल्यू. 10 1/4 इंच (26 सेमी),इस टुकड़े के रेक्टो पक्ष का विषय क्या है?,एक गोताखोरी करने वाला डिपर और अन्य पक्षी
कला का शीर्षक क्या है?,"""महाराजा भीम कंवर का चित्र"", शाहजहाँ एल्बम से फोलियो",कला का कलाकार कौन है?,नन्हा,कला किस सामग्री से बनी है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",यह कला क्यों महत्वपूर्ण है?,यह मुगल साम्राज्य के रैंकों में हिंदू कुलीनता के समावेश को दर्शाता है और सत्रहवीं शताब्दी की शुरुआत की विशिष्ट चित्र शैली पेश करता है।
कलाकृति का नाम क्या है?,"""एक युवा पेड़ से गिर गया"", शाहजहाँ एल्बम से फोलियो",कलाकृति का कलाकार कौन है?,आका रिज़ा,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना","कलाकृति कब बनाई गई थी, इसकी अनुमानित तिथि सीमा क्या है?",वर्सो: सीए. 1610; रेक्टो: सीए. 1530
एल्बम लीफ के कलाकार कौन थे?,पयाग,एल्बम लीफ का शीर्षक क्या है?,"""घोड़े पर शाहजहाँ"", शाहजहाँ एल्बम से फोलियो",एल्बम लीफ बनाने के लिए किस माध्यम का उपयोग किया गया था?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",एल्बम लीफ का रेक्टो कब बनाया गया था?,सीए। 1530-50
कला का कलाकार कौन है?,गोवर्धन,कला का शीर्षक क्या है?,"""शेर और बछड़े के साथ अकबर"", शाहजहाँ एल्बम से फोलियो",कला का माध्यम क्या है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कला की तिथि क्या है?,वर्सो: सीए. 1630; रेक्टो: सीए. 1530-50
पेंटिंग में किसे दर्शाया गया है?,जहाँगीर और उसका वज़ीर इतिमाद अल-दौला।,एल्बम लीफ का रेक्टो कब बनाया गया था?,सीए। 1615.,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना।",जहांगीर और इतिमाद अल-दौला के बीच क्या संबंध है?,उनके बीच घनिष्ठ व्यक्तिगत संबंध थे और इतिमाद अल-दौला अपनी बेटी की जहांगीर से शादी के कारण राज्य के मुख्यमंत्री बने।
कलाकृति का कलाकार कौन है?,चितरमन,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति की समयावधि क्या है?,रेक्टो: दिनांक 1627-28; वर्सो: सीए. 1530-50,कलाकृति का विषय क्या है?,बादशाह शाहजहाँ अपने चित्र वाला एक पेंडेंट लिये हुए एक छत पर खड़ा है
चित्र में किसे दर्शाया गया है?,शेख मुइन अल-दीन हसन चिश्ती।,विषय किस सूफी संप्रदाय से संबंधित था?,चिश्तिया सूफी आदेश।,विषय का मकबरा कब और कहाँ बनाया गया था?,पाठ में मकबरे के निर्माण का उल्लेख नहीं है।,कलाकृति का माध्यम क्या है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना।"
यह कलाकृति किसने बनाई?,बालचंद,कलाकृति कब बनाई गई थी?,रेक्टो: सीए. 1610-15; छंद: दिनांक 1541,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",ऊपरी बाएँ चित्र में किसे दर्शाया गया है?,ए राजा (शायद राजा सारंग राव)
उस एल्बम का नाम क्या है जिसमें यह पृष्ठ पाया गया है?,शाहजहाँ एल्बम,यह कलाकृति किसने बनाई?,मनोहर,कलाकृति कब बनाई गई थी?,रेक्टो: सीए. 1610; वर्सो: सीए. 1530-40,इस कलाकृति को बनाने के लिए किस माध्यम का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
कला का नाम क्या है?,"""किलिच खान तुरानी का चित्र"", शाहजहाँ एल्बम से फोलियो",कला का कलाकार कौन है?,लालचंद,कला का निर्माण कब हुआ था?,रेक्टो: सीए. 1640; वर्सो: सीए. 1530-50,कला में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
कला का शीर्षक क्या है?,"""खान दौरान बहादुर नुसरत जंग का चित्र"", शाहजहाँ एल्बम से फोलियो",कला का निर्माण किसने किया?,स्किन,कला को बनाने के लिए किस माध्यम का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कला का निर्माण कब हुआ था?,वर्सो: सीए. 1640; रेक्टो: 1530-50
कला कृति का नाम क्या है?,एल्बम का पत्ता,छंद पर सुलेख में किस लिपि का प्रयोग किया जाता है?,Nasta'liq,श्लोक पर सुलेख के लिए जिम्मेदार सुलेखक कौन था?,सुल्तान अली मशहदी,छंद पर अंकित कविता का विषय क्या है?,प्रेमी की स्नेह की किसी अप्राप्य वस्तु की लालसा
एल्बम लीफ का कलाकार कौन है?,हाशिम,एल्बम लीफ का शीर्षक क्या है?,"""इब्राहिम 'बीजापुर के आदिल शाह द्वितीय का चित्र"", शाहजहाँ एल्बम से फोलियो""",एल्बम लीफ कब बनाया गया था?,"वर्सो का निर्माण 1620 के आसपास हुआ था, और रेक्टो का निर्माण 1534 या उसके बाद हुआ था।",एल्बम लीफ बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना"
एल्बम लीफ के कलाकार कौन थे?,हाशिम,कलाकृति का माध्यम क्या है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",एल्बम लीफ का रेक्टो कब बनाया गया था?,सीए। 1620,एल्बम लीफ पोर्ट्रेट में किसे दर्शाया गया है?,बीजापुर के मुल्ला मुहम्मद खान वली
कला में किसे दर्शाया गया है?,भावी बादशाह शाहजहाँ और उसका पुत्र दारा शिकोह।,कला का निर्माण कब हुआ था?,वर्सो: सीए. 1620; रेक्टो: सीए. 1530-50.,कला को बनाने के लिए किस माध्यम का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना।",कला का वर्गीकरण क्या है?,कोडीस।
कलाकृति का कलाकार कौन है?,मीर 'अली हरवी,कलाकृति का शीर्षक क्या है?,'शाहजहाँ एल्बम से उन्वान,कलाकृति में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",कलाकृति के निर्माण की अनुमानित तिथि क्या है?,रेक्टो: सीए. 1630-40; वर्सो: सीए. 1540
कला वस्तु का नाम क्या है?,एल्बम का पत्ता,उस एल्बम का शीर्षक क्या है जिसका पत्ता है?,शाहजहाँ एल्बम,कला को बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",रोसेट के केंद्र में शिलालेख में क्या लिखा है?,"""महामहिम शिहाबुद्दीन मुहम्मद शाहजहाँ, राजा, आस्था के योद्धा, भगवान उनके राज्य और संप्रभुता को कायम रखें।"""
एल्बम लीफ का कलाकार कौन है?,नन्हा,एल्बम लीफ का छंद कब बनाया गया था?,सीए। 1610-15,एलबम लीफ में किस माध्यम का प्रयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",मशहद के सुल्तान अली की सुलेख का प्राथमिक उद्देश्य क्या था?,कविता
कलाकृति का नाम क्या है?,शाहजहाँ एल्बम से सम्राट औरंगजेब (रेक्टो) का नाम और उपाधि धारण करने वाली रोसेट,कलाकृति का कलाकार कौन है?,मीर 'अली हरवी,कलाकृति बनाने के लिए किन सामग्रियों का उपयोग किया गया?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",रोसेट को एल्बम में शामिल करने का क्या महत्व है?,"रोसेट एल्बम संयोजन में बाद में जोड़ा गया था, जो दर्शाता है कि इसे सम्राट औरंगजेब (आर. 1658-1707) के शासनकाल के दौरान बनाया गया था।"
इस कला का कलाकार कौन है?,गोवर्धन,इस कला को बनाने के लिए किस माध्यम का उपयोग किया जाता है?,"स्याही, अपारदर्शी जल रंग, और कागज पर सोना",बॉर्डर के बिना पेंटिंग का आकार क्या है?,एच. 5 7/8 इंच (14.9 सेमी) x डब्ल्यू. 3 1/2 इंच (8.9 सेमी),चित्र के आसपास के पद्य अंश किस साहित्यिक कृति से लिए गए हैं?,अमीर खुसरो का खम्सा (पंचक)
कलाकृति का शीर्षक क्या है?,इस्लाम खान मशहदी का चित्र,वह कलाकार कौन है जिसने कलाकृति बनाई?,पयाग,कलाकृति बनाने के लिए किस माध्यम का उपयोग किया जाता है?,कागज पर अपारदर्शी जल रंग और सोना,कलाकृति का वर्गीकरण क्या है?,कोडीस
फोलियो का कलाकार कौन था?,'अब्द अल-रहीम इब्न मुहम्मद बैरम खान खान-ए खानान,फोलियो का शीर्षक क्या है?,"''अर्जुन ने राजा ताम्रध्वज से युद्ध किया'', रज्मनामा से फोलियो''",पेंटिंग का आकार क्या है?,एच. 9 1/2 इंच (24.2 सेमी)\r\n डब्ल्यू. 9 3/16 इंच (23.3 सेमी),फोलियो में कौन सी कहानी दर्शाई गई है?,"अर्जुन और राजा ताम्रध्वज की लड़ाई, महाभारत से कौरवों और पांड्य कुलों के बीच एक पौराणिक युद्ध।"
