objectID,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,image_array,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
447774,Mirror,Mirror,,18th century,Jade,"H. 6 1/2 in (16.5 cm)
W. 3 7/8 in (9.8 cm)",,Stone,"The white jade case of this mirror is carved with symmetrical flowering plants accented with inset rubies.  Jade working is an exceptionally time-consuming process that requires a great deal of skill due to the hard and brittle nature of the stone.  Highly skilled artisans of the Mughal Empire carved works like this example from jade that they then inset with precious gems.  These objects, decorated with floral motifs favored by the Mughal elite, were often exchanged as gifts.","[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]", What type of material is the mirror made of?, Jade, In what century was the mirror created?, 18th century, What is the significance of the floral carvings on the mirror?, The floral carvings represent motifs favored by the Mughal elite and were often used to decorate objects exchanged as gifts., How is jade working characterized?, Jade working is a time-consuming process requiring great skill due to the hard and brittle nature of the stone.
447780,Coat,Man's Coat (Choga),,ca. 1803–56,"Wool, metal wrapped thread; double interlocking twill tapestry weave, applied decorative braid","L. of textile: 52 1/2 in. (133.4 cm)
W. with outstretched arms: 63 3/8 in. (161 cm)
W. of bottom: 29 3/8 in. (74.6 cm)
L. of arm: 24 1/4 in. (61.6 cm)",,Textiles-Costumes,"A meandering vine encloses multicolor ambi, or mangoshaped, motifs on this choga, a loose-fitting, open-fronted robe worn as an outer garment in Central Asia, Russia, North Africa, and the Indian subcontinent. This coat was likely made in Kashmir, as the double-interlocking twill tapestry weave (kanni) used to make it was a specialty of the region. Later, the coat made its way into the wardrobe of Saiyid Sa'id, sultan of Zanzibar and imam of Muscat, Oman (1803–56).","[[[154 167 181]
  [154 167 181]
  [154 167 181]
  ...
  [178 187 197]
  [179 188 198]
  [180 189 199]]

 [[154 167 181]
  [154 167 181]
  [154 167 181]
  ...
  [178 187 197]
  [179 188 198]
  [179 188 198]]

 [[154 167 181]
  [154 167 181]
  [154 167 181]
  ...
  [179 188 198]
  [179 188 198]
  [179 188 198]]

 ...

 [[157 173 185]
  [157 173 185]
  [157 173 185]
  ...
  [167 179 189]
  [166 178 188]
  [165 177 187]]

 [[156 172 184]
  [156 172 184]
  [157 173 185]
  ...
  [167 179 189]
  [167 179 189]
  [166 178 188]]

 [[156 172 184]
  [156 172 184]
  [157 173 185]
  ...
  [167 179 189]
  [167 179 189]
  [166 178 188]]]", What type of garment is this?, Choga, What material is it made from?, Wool and metal wrapped thread, Where was it likely made?, Kashmir, Who was the original owner?," Saiyid Sa'id, sultan of Zanzibar and imam of Muscat, Oman"
447796,Illustrated  album leaf,Royal Horse and Runner,,16th–17th century,"Ink, opaque watercolor, and gold on paper","Page: H. 11 3/4 in. (29.8 cm)
           W. 17 1/2 in. (44.5 cm)
Painting: H. 6 1/2 in. (16.5 cm)
                 W. 9 3/4 in. (24.8 cm)",,Codices,"The drawing of the blue-gray horse, its rich saddle, and  the bare, rocky landscape are in a Persian vein, while the groom, with his small, tight turban, is rendered in the contemporary Mughal style.","[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 23   0  13]
  [ 25   0  17]
  [ 14   0  11]
  ...
  [  2   3   0]
  [  2   0   0]
  [  7   0   4]]

 [[ 36   0  33]
  [ 25   0  22]
  [ 17   0  17]
  ...
  [  0  10   0]
  [  5   0   4]
  [ 41   0  41]]

 [[140  74 145]
  [ 41   0  45]
  [ 19   0  25]
  ...
  [  0   5   0]
  [ 26   0  26]
  [173  39 181]]]", What kind of art is it?, Illustrated album leaf, What is the title of the art?, Royal Horse and Runner, When was the art created?, 16th–17th century, What materials were used to create the art?," Ink, opaque watercolor, and gold on paper"
447797,Illustrated  album leaf,Prince Riding an Elephant,Khem Karan,16th–17th century,"Ink, opaque watercolor, and gold on paper","Page: H. 12 1/4 in. (31.1 cm)
           W. 18 1/2 in. (47 cm)
Painting: H. 7 3/4 in. (19.7 cm)
                 W. 10 3/4 in. (27.3 cm)
Mat: H. 19 1/4 in. (48.9 cm)
        W. 14 1/4 in. (36.2 cm)",,Codices,"Elephants were highly prized at Indian courts, greatly appreciated as gifts, and eagerly sought as booty in military campaigns. Paintings of several admired elephants were made at the Mughal court, much as portraits were made of courtiers and nobles. Khem Karan, whose signature appears at the bottom of the picture, was a well-known painter in Akbar’s atelier.","[[[ 82  80  80]
  [167 165 165]
  [151 151 151]
  ...
  [146 144 144]
  [128 128 128]
  [  5   5   5]]

 [[164 162 162]
  [255 255 255]
  [252 252 252]
  ...
  [255 255 255]
  [225 225 225]
  [ 19  19  19]]

 [[148 146 146]
  [251 249 249]
  [250 250 250]
  ...
  [242 240 240]
  [222 222 222]
  [  0   0   0]]

 ...

 [[167 138 171]
  [255 245 255]
  [237 233 244]
  ...
  [229 250 242]
  [223 238 234]
  [  4   0   7]]

 [[135  85 139]
  [236 199 239]
  [215 201 219]
  ...
  [191 212 204]
  [185 186 200]
  [ 42   0  48]]

 [[146  74 150]
  [ 40   0  42]
  [ 14   0  15]
  ...
  [  0   1   0]
  [ 25   0  27]
  [187  46 189]]]", What is the name of the art?, Illustrated album leaf, Who is the artist of the art?, Khem Karan, What is the medium used to create the art?," Ink, opaque watercolor, and gold on paper", What is the significance of elephants at Indian courts?," Elephants were highly prized as gifts and booty in military campaigns, and paintings of admired elephants were often made at the Mughal court."
447821,Hanging or bed cover,Hanging or Bed Cover,,late 18th century,Cotton; pounced and painted,"H. 121 1/2 in., (308.6 cm)
W. 91 in. (231.1 cm)",,Textiles-Painted,"This palampore, used as a bed cover or wall hanging, was made with a traditional dyeing technique called kalamkari, which evolved in Southern India. In this multi-step process, each color is applied with a stylus or by using wax resists before submerging the entire cloth in a dye bath. Textiles of this design, with a central flowering tree surrounded by scrolling vines and flowers, were often made for the European market.","[[[ 20  24  25]
  [ 66  71  72]
  [ 61  65  70]
  ...
  [ 60  67  70]
  [ 62  65  69]
  [  8  10  11]]

 [[ 66  71  72]
  [211 216 219]
  [192 198 203]
  ...
  [193 202 206]
  [195 200 203]
  [ 26  30  31]]

 [[ 59  66  69]
  [190 199 202]
  [176 187 191]
  ...
  [178 188 195]
  [180 186 191]
  [ 24  29  32]]

 ...

 [[ 59  68  72]
  [193 204 208]
  [179 191 197]
  ...
  [181 191 198]
  [182 191 195]
  [ 22  28  33]]

 [[ 57  64  67]
  [184 191 194]
  [170 179 183]
  ...
  [175 181 186]
  [174 179 182]
  [ 23  28  31]]

 [[  4   6   7]
  [ 15  19  20]
  [ 14  18  19]
  ...
  [ 14  18  19]
  [ 16  18  19]
  [  1   3   4]]]", What is the name of the art piece?, Hanging or Bed Cover, When was the art piece made?, Late 18th century, What technique was used to create the art piece?, Kalamkari dyeing, What was the intended use of the art piece?, Bed cover or wall hanging
447822,Hanging,Hanging,,18th century,Cotton,"H. 115 in. (292.1 cm)
W. 91 in. (231.1 cm)",,Textiles-Painted and/or Printed,"A technique called kalamkari was used in the production of this hanging fabric. In this multi-step process, each color is applied with a stylus or by using wax resists before the entire cloth is submerged in a dye bath. Although most of the decoration was printed in a less labor-intensive method, accents were created using this distinctly Indian process. The naturalistic but controlled treatment of the plants and animals seen here was typical of works created for the European market.","[[[103 107 108]
  [143 147 148]
  [135 140 143]
  ...
  [134 141 144]
  [144 149 152]
  [ 41  45  46]]

 [[144 147 151]
  [198 203 206]
  [187 192 195]
  ...
  [186 193 196]
  [198 205 208]
  [ 58  61  65]]

 [[135 139 144]
  [187 191 196]
  [178 182 187]
  ...
  [175 181 186]
  [187 194 197]
  [ 55  58  62]]

 ...

 [[133 139 144]
  [185 191 196]
  [176 182 189]
  ...
  [175 182 185]
  [189 194 195]
  [ 57  59  60]]

 [[140 145 148]
  [193 200 203]
  [184 190 195]
  ...
  [185 190 193]
  [197 202 205]
  [ 59  60  64]]

 [[115 120 123]
  [159 164 167]
  [148 154 159]
  ...
  [150 154 159]
  [161 164 168]
  [ 48  49  53]]]", What is the technique used to produce the hanging fabric?, Kalamkari, What is the primary material used in the hanging?, Cotton, What is the approximate size of the hanging?," Height: 115 inches (292.1 cm), Width: 91 inches (231.1 cm)", What is the intended market for the hanging?, European market
448018,Carpet,Velvet and Silk Carpet,,17th century,"Silk, metal wrapped thread; cut and voided velvet, brocaded","Rug: L. 183 1/2 in. (466.1 cm)
         W. 103 3/4 in. (263.5 cm)",,Textiles-Rugs,"For special occasions, Mughal palaces and pavilions were spread with silk hangings, carpets, and embroidered velvets. On one New Year’s Day, for instance, the emperor Jahangir mentioned visiting his vizier and brother‑in‑law Asaf Khan, who had covered the road from the palace with velvets woven with gold and gold brocade. This sumptuous carpet may have been used for such an occasion. Its design is reminiscent of Iranian textiles, but ink inscriptions in Gujarati script on its selvages indicate that the carpet was woven in that state, which was well known for the production of silks, velvets, and cottons.","[[[115 115 115]
  [149 149 149]
  [143 143 143]
  ...
  [155 155 155]
  [156 156 156]
  [158 158 158]]

 [[148 148 148]
  [181 181 181]
  [175 175 175]
  ...
  [193 193 193]
  [195 195 195]
  [197 197 197]]

 [[143 143 143]
  [176 176 176]
  [169 169 169]
  ...
  [184 184 184]
  [186 186 186]
  [188 188 188]]

 ...

 [[154 154 154]
  [197 197 197]
  [189 189 189]
  ...
  [193 193 193]
  [197 197 197]
  [202 202 202]]

 [[139 139 139]
  [171 171 171]
  [161 161 161]
  ...
  [171 171 171]
  [170 170 170]
  [169 169 169]]

 [[  1   1   1]
  [ 16  16  16]
  [  4   4   4]
  ...
  [ 12  12  12]
  [ 10  10  10]
  [  5   5   5]]]", What is the name of the art?, Velvet and Silk Carpet, What is the medium used to create the art?," Silk, metal wrapped thread; cut and voided velvet, brocaded", In what century was the art created?, 17th century, What is the significance of the art?," The carpet may have been used for special occasions in Mughal palaces and pavilions, and its design is influenced by both Iranian textiles and Gujarati craftsmanship."
448147,Panel,Kalamkari Panel with Niche,,late 17th–early 18th century,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: L. 55 in. (139.7 cm)
             W. 32 1/8in. (81.6cm)",Burhanpur,Textiles-Painted and/or Printed,Burhanpur in the northern Deccan emerged in the eighteenth century as a center for the production of dyed textiles. Several panels with the same design as this one are preserved; they were probably originally attached and used as a tent lining or as a floorspread in a place of prayer.,"[[[145 175 200]
  [145 175 200]
  [143 172 199]
  ...
  [144 175 198]
  [151 177 201]
  [151 177 201]]

 [[146 176 201]
  [145 175 200]
  [144 173 200]
  ...
  [146 174 198]
  [151 177 201]
  [152 178 202]]

 [[146 176 201]
  [146 176 201]
  [146 176 201]
  ...
  [148 177 198]
  [152 178 202]
  [153 179 203]]

 ...

 [[148 177 204]
  [147 176 203]
  [144 171 197]
  ...
  [145 176 199]
  [146 177 200]
  [144 175 198]]

 [[145 174 201]
  [140 169 196]
  [146 173 199]
  ...
  [143 174 197]
  [143 174 197]
  [142 172 197]]

 [[143 172 199]
  [144 173 200]
  [147 174 200]
  ...
  [143 174 195]
  [143 173 198]
  [143 173 198]]]",, Kalamkari Panel with Niche,," Late 17th–early 18th century in Burhanpur, India",," Cotton fabric, plain weave, mordant painted and dyed, and resist dyed",, Originally attached and used as a tent lining or as a floorspread in a place of prayer
448178,Bedcover or hanging,Palampore,,late 18th century,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: H. 100 in. (254 cm)
             W. 55 in. (139.7 cm)
Mount:  H.  101 in. (256.5 cm)
             W. 48 1/2 in. (123.2 cm)
              D. 1 in. (2.5 cm)
            Wt. 79 lbs. (35.8 kg)",,Textiles-Painted and/or Printed,"This type of dyed cloth, known as a palampore (from palangposh, the Hindi term for bedcover), was made in abundance in India for foreign markets in the late seventeenth and eighteenth centuries, and their decoration, often with a central tree laden with fruits and birds, combined patterns from English embroideries, Chinese decorative objects, and Indian textiles. In Europe, they were used as bedcovers and were also hung on the walls of bedrooms. In Southeast Asia, where this piece might have been traded, such textiles were displayed during religious ceremonies.","[[[12 12 12]
  [11 11 11]
  [10 10 10]
  ...
  [12 12 12]
  [12 12 12]
  [12 12 12]]

 [[11 11 11]
  [11 11 11]
  [11 11 11]
  ...
  [12 12 12]
  [12 12 12]
  [11 11 11]]

 [[11 11 11]
  [11 11 11]
  [11 11 11]
  ...
  [11 11 11]
  [11 11 11]
  [12 12 12]]

 ...

 [[11 11 11]
  [11 11 11]
  [11 11 11]
  ...
  [ 9  9  9]
  [10 10 10]
  [11 11 11]]

 [[11 11 11]
  [11 11 11]
  [12 11 13]
  ...
  [10 10 10]
  [10 10 10]
  [10 10 10]]

 [[11 11 11]
  [11 11 11]
  [11 10 12]
  ...
  [11 11 11]
  [10 10 10]
  [11 11 11]]]",,,,,,,,
448212,Cover,Kalamkari Rumal (Cover),,1640–50,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: L. 24 in. (61 cm)
             W. 36 in. (91.4 cm)
Mount: H. 30 5/16 in. (77 cm)
             W. 41 3/8 in. (105.1 cm)
             D.  1 in. (2.5 cm)",Golconda,Textiles-Painted and/or Printed,"A number of chintzrumals and large summer carpets bear inventory notations written by clerks in the storeroom of the Amber Palace, near Jaipur. Thisrumalhas only a brief notation indicating an inventory date of November–December 1673. Somerumals have more informative notations, giving multiple inventory dates, sizes, and even prices. This example shows scenes of courtly life involving figures in both Persian and Indian dress.","[[[ 83 115 150]
  [113 148 182]
  [104 140 176]
  ...
  [ 90 135 172]
  [106 142 172]
  [ 21  38  59]]

 [[106 141 175]
  [137 174 208]
  [130 168 203]
  ...
  [111 156 193]
  [137 175 205]
  [ 28  45  66]]

 [[ 98 134 170]
  [130 168 203]
  [122 161 199]
  ...
  [101 149 185]
  [124 164 193]
  [ 22  41  62]]

 ...

 [[ 96 141 178]
  [119 167 203]
  [119 166 204]
  ...
  [116 162 193]
  [141 182 205]
  [ 18  44  58]]

 [[117 154 182]
  [135 172 200]
  [132 170 200]
  ...
  [144 181 209]
  [158 191 211]
  [ 28  46  57]]

 [[  7  27  44]
  [ 13  33  50]
  [ 11  31  48]
  ...
  [  0  22  48]
  [  8  32  50]
  [  0   9  18]]]", What is the name of the art piece?, Kalamkari Rumal (Cover), What is the approximate size of the textile?, 24 inches long and 36 inches wide, What materials were used to create the art?," Cotton, plain weave, mordant painted and dyed, resist dyed", What is depicted in the scenes shown on the textile?, Scenes of courtly life involving figures in both Persian and Indian dress
448213,Cover,Kalamkari Rumal,,ca. 1640–50,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: L. 25 1/4 in. (64.1 cm)
             W. 36 in. (91.4 cm)
Mount: L. 30 1/4 in. (76.8 cm)
             W. 41 1/16 in. (104.3 cm)
              D. 1 in. (2.5 cm)",Golconda,Textiles-Painted and/or Printed,"Delightful scenes fill the ground of this rumal: a music performance; a look between lovers; figures sewing, hunting, and dancing; and a royal group. Although unrelated, the vignettes are united by the application of pattern to all elements of the textile and a busy background of trees, plants, rocky outcrops, and animals in action.","[[[ 16  31  40]
  [ 60  76  88]
  [ 45  66  81]
  ...
  [ 68  87 102]
  [ 84 100 112]
  [  5  17  29]]

 [[ 56  72  84]
  [136 155 168]
  [149 174 190]
  ...
  [189 212 228]
  [188 207 220]
  [ 36  50  62]]

 [[ 50  71  86]
  [119 144 160]
  [120 149 170]
  ...
  [163 190 210]
  [156 181 197]
  [ 23  42  55]]

 ...

 [[ 50  69  84]
  [130 153 169]
  [119 146 166]
  ...
  [158 185 205]
  [158 183 199]
  [ 26  43  56]]

 [[ 58  74  86]
  [158 175 188]
  [134 157 173]
  ...
  [190 213 229]
  [185 204 217]
  [ 35  49  61]]

 [[ 17  32  41]
  [ 63  79  91]
  [ 58  79  94]
  ...
  [ 85 104 119]
  [ 93 111 122]
  [  8  20  32]]]", What is the name of this art?, Kalamkari Rumal, When was this art created?, ca. 1640–50, What is the medium used in this art?," Cotton; plain weave, mordant painted and dyed, resist dyed", What type of artwork is it?, Textile-Painted and/or Printed
448214,Cover,Kalamkari Rumal,,ca. 1640–50,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: L. 32 in. (81.3 cm)
             W. 35 in. (88.9 cm)
Mount: H. 31 in. (78.7 cm)
             W. 38 in. (96.5 cm)
             D. 1 in. (2.5 cm)",Golconda,Textiles-Painted and/or Printed,Wine drinking and its pleasurable effects appear to be a unifying theme in all the vignettes on this rumal.,"[[[109  85 133]
  [ 86  69 112]
  [ 58  54  90]
  ...
  [ 87  69 100]
  [ 79  32  88]
  [147  67 150]]

 [[ 81  64 108]
  [188 179 219]
  [185 188 219]
  ...
  [196 192 221]
  [150 125 169]
  [ 34   0  45]]

 [[ 55  51  87]
  [184 187 218]
  [154 169 195]
  ...
  [148 175 196]
  [115 131 154]
  [  0   0  18]]

 ...

 [[ 44  70  77]
  [172 199 209]
  [153 180 190]
  ...
  [180 193 201]
  [109 121 127]
  [  0   1   8]]

 [[ 53  72  80]
  [138 159 167]
  [131 150 158]
  ...
  [153 163 170]
  [ 95 104 108]
  [  0   6  10]]

 [[  0   0   7]
  [  6  17  25]
  [  0   0   9]
  ...
  [  0   8  15]
  [  5  11  16]
  [  0   0   4]]]", What is the name of the art object?, Kalamkari Rumal, When was the art object created?, ca. 1640–50, What materials were used to create the art object?," Cotton; plain weave, mordant painted and dyed, resist dyed", What is the subject matter of the art object?, Wine drinking and its pleasurable effects
448215,Sash,Sash,,ca. 1628–58,"Cotton;  resist and mordant dyed, and painted","L. 113 in. (287 cm)
W. 12 1/2 in. (59. 7 cm)",,Textiles-Costumes,"Men’s sashes, called patkas, were wrapped two or three times around the wearer’s waist and tied with their ends hanging down in the front. Worn over jamas, the long robes typical of Mughal India, they allowed men to display their wealth by tucking daggers, pen cases, and other precious objects into the fabric. After being exported to Europe in the colonial period, a modified version of the patka became part of tuxedo sets, taking its name from the Hindustani and Persian term kamarband, which means ‘waist bound up’. Individual stitches running the length of this patka create pleating in the fabric, indicating that it was worn folded over with the ends splayed out.","[[[186 183 179]
  [186 183 179]
  [186 183 179]
  ...
  [193 190 186]
  [191 188 184]
  [191 188 184]]

 [[186 183 179]
  [186 183 179]
  [186 183 179]
  ...
  [192 189 185]
  [191 188 184]
  [191 188 184]]

 [[186 183 179]
  [186 183 179]
  [186 183 179]
  ...
  [189 186 182]
  [191 188 184]
  [191 188 184]]

 ...

 [[165 170 173]
  [165 170 173]
  [165 170 173]
  ...
  [140 136 147]
  [151 150 154]
  [151 150 154]]

 [[162 167 170]
  [162 167 170]
  [162 167 170]
  ...
  [156 153 162]
  [154 153 157]
  [159 158 162]]

 [[162 167 170]
  [162 167 170]
  [162 167 170]
  ...
  [159 156 165]
  [158 157 161]
  [163 162 166]]]", What is the name of the art?, Sash, What is the medium used to create the art?," Cotton; resist and mordant dyed, and painted", What is the approximate date of creation for the art?, ca. 1628–58, What is the typical use for this type of art?," Men’s sashes, called patkas, were wrapped around the wearer’s waist and tied with their ends hanging down in the front. They allowed men to display their wealth by tucking precious objects into the fabric."
448216,Cover,Cover (Rumal),,first half 17th century,"Cotton; plain weave, mordant dyed and painted, resist dyed","Textile: L. 32 5/16 in. (82.1 cm)
             W. 18 1/2 in. (47 cm)
Mount: L. 37 1/4 in. (94.6 cm)
             W.  23 3/4 in. (60.3 cm)
             D. 1 in. (2.5 cm)",,Textiles-Painted and/or Printed,"This small cotton cover was decorated using a traditional dyeing technique called kalamkari, which evolved in southern India. In this multi-step process, each color was applied with a stylus or by using wax resists before the entire cloth was submerged in a dye bath. The motif of a turkey in the central medallion would have been considered exotic, as turkeys had first entered India in only the previous century. In his memoirs, the Mughal emperor Jahangir wrote extensively about the animals, describing them in relation to more familiar species, including pea-hens and peacocks","[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]", What type of fabric is the cover made of?, Cotton, What decoration technique was used to create the design on the cover?, Kalamkari, What is the main motif depicted on the central medallion of the cover?, A turkey, When did the Mughal emperor Jahangir write about the animals that inspired the motif on the cover?, Not specified in the provided description
448241,Fragment of a tent lining,Panel from a Tent Lining,,17th century,"Cotton; plain weave, mordant painted and dyed, resist dyed","Textile: L. 86 in. (218.4 cm)
            W. 42 1/2 in. (108 cm)
Mount: H. 95 1/2 in. (242.6 cm)
            W. 51 1/2 in. (130.8 cm)
            D. 3 in. (7.6 cm)",Burhanpur,Textiles-Painted and/or Printed,"This panel was probably one of a series of identical panels used to line the tent of the temporary camps set up along the caravan routes of the Mughal emperors. Writing about Aurangzeb’s camp in 1665, the French physician François Bernier described linings with representations of large vases of flowers, much like this example.","[[[ 69  95  82]
  [ 88 112 100]
  [102 122 110]
  ...
  [ 98 107  87]
  [105 114  94]
  [109 120 100]]

 [[ 63  89  76]
  [ 69  93  81]
  [ 81 101  89]
  ...
  [ 95 104  84]
  [ 95 106  86]
  [ 98 109  89]]

 [[ 70  96  83]
  [ 62  86  74]
  [ 66  86  74]
  ...
  [ 93 104  84]
  [ 90 102  82]
  [ 90 102  82]]

 ...

 [[ 66  80  69]
  [ 67  81  70]
  [ 67  83  72]
  ...
  [ 12  13  11]
  [ 13  14  12]
  [ 14  15  13]]

 [[ 68  82  71]
  [ 68  82  71]
  [ 66  82  71]
  ...
  [ 13  14  12]
  [ 14  15  13]
  [ 15  16  14]]

 [[ 68  82  71]
  [ 67  81  70]
  [ 65  81  70]
  ...
  [ 14  15  13]
  [ 16  17  15]
  [ 17  18  16]]]", What is the name of the artwork?, Panel from a Tent Lining, When was the artwork created?, 17th century, What is the artwork made of?," Cotton; plain weave, mordant painted and dyed, resist dyed", What was the likely purpose of the artwork?, To line the tent of a Mughal emperor during temporary camps along caravan routes
448247,Robe,Man's Robe (Jama) with Poppies,,17th century,"Cotton; painted, with applied gold leaf","Robe: L. 55 in. (139.7 cm)
          W. 80 in. (203.2 cm)
Case: L. 78 in. (198.1 cm)
          W. 36 in. (91.4 cm)
          D. 36 in. (91.4 cm)",Burhanpur or Hyderabad,Textiles-Costumes,"The early Mughal rulers Akbar and Jahangir were interested in fashion stuffs, carpets, and ornamental textiles. Both emperors had a penchant for inventing new names for garments and other clothing. Akbar is recorded as having ordered a new coat or dress with a round skirt to be tied on the right side. Thisjamamay be a later version of the Akbari garment. Its lengthy sleeves would have been gathered up on the arm when the dress was worn. In a painting of Shah Jahan, he is seen to be wearing a similar garment tied with lappets on the right. He is also dressed in tight-fitting trousers, a colorful sash holding a dagger, and a bejeweled turban. Grandees of the realm wore similar clothing but dressed according to their rank. Sometimes individual nobles were given robes of honor by the emperor as a mark of distinction.","[[[  6   6   6]
  [ 10  10  10]
  [  9   9   9]
  ...
  [  6   6   6]
  [  4   4   4]
  [  1   1   1]]

 [[  9   9   9]
  [ 14  14  14]
  [ 14  14  14]
  ...
  [  8   8   8]
  [  5   5   5]
  [  2   2   2]]

 [[  9   9   9]
  [ 15  15  15]
  [ 16  16  16]
  ...
  [  8   8   8]
  [  5   5   5]
  [  2   2   2]]

 ...

 [[ 81  81  81]
  [105 105 105]
  [ 98  98  98]
  ...
  [ 64  64  64]
  [ 58  58  58]
  [  1   1   1]]

 [[ 81  81  81]
  [106 106 106]
  [108 108 108]
  ...
  [ 67  67  67]
  [ 54  54  54]
  [ 21  21  21]]

 [[  7   7   7]
  [ 21  21  21]
  [ 17  17  17]
  ...
  [ 14  14  14]
  [ 12  12  12]
  [  0   0   0]]]", When was the robe created?, 17th century, What materials were used to make the robe?," Cotton, painted, with applied gold leaf", What is the name of the type of robe?, Jama, Who wore similar robes to the one depicted in the painting?, Grandees of the Mughal realm
448257,Inkwell,Inkpot of the Emperor Jahangir,Mu'min Jahangir,dated 1028 AH/1618–19 CE,"Nephrite, gold","H. 2 1/2 in. (6.4 cm)
Diam. 3 1/4 in. (7.9 cm)",,Stone,"Sturdy, monumental, artfully rounded, richly adorned, and so weighty and well balanced that it could hardly be overturned, this dignified and useful inkpot can be seen as a poetic visual symbol of the empire inherited by Jahangir. If his father, Akbar, commissioned works of art as elements of a dynamic imperial vision, the son did so for delectation and spiritual nourishment. His miniatures, architecture, objects, and autobiography, theTuzuk-i Jahangiri, reveal him as a responsible–if quirky, warm-blooded, and sometimes cruel–ruler, whose aesthetic concerns left enough time and energy for essential statecraft. Few rulers in world history match his artistic discernment or breadth of taste. He collected pictures and objects from the Islamic world and beyond: Chinese porcelains, Augsburg gilt-bronze statuettes, engravings by Dürer and the Flemish Mannerists, and Renaissance jewels as well as Persian miniatures. On coming to the throne, he released a large proportion of the imperial artists and craftsmen to feudatory courts and to the bazaar workshops, keeping only those whose work met his standards of seriousness and restraint.","[[[ 77  79  79]
  [ 77  79  79]
  [ 77  79  79]
  ...
  [ 74  76  76]
  [ 74  76  76]
  [ 75  77  77]]

 [[ 77  79  79]
  [ 77  79  79]
  [ 77  79  79]
  ...
  [ 74  76  76]
  [ 74  76  76]
  [ 75  77  77]]

 [[ 78  80  80]
  [ 77  79  79]
  [ 77  79  79]
  ...
  [ 75  77  77]
  [ 74  76  76]
  [ 74  76  76]]

 ...

 [[188 188 188]
  [188 188 188]
  [188 188 188]
  ...
  [173 173 173]
  [173 173 173]
  [173 173 173]]

 [[188 188 188]
  [188 188 188]
  [188 188 188]
  ...
  [174 174 174]
  [173 173 173]
  [173 173 173]]

 [[187 187 187]
  [187 187 187]
  [187 187 187]
  ...
  [174 174 174]
  [173 173 173]
  [173 173 173]]]", What is the name of the artwork?, Inkpot of the Emperor Jahangir, When was the artwork created?, 1028 AH/1618–19 CE, Who is the artist of the artwork?, Mu'min Jahangir, What materials were used to create the artwork?, Nephrite and gold
