objectID,primaryImageLink,objectName,title,artistDisplayName,objectDate,medium,dimensions,city,classification,description,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4
446739,https://images.metmuseum.org/CRDImages/is/original/15.95.40 and 41.JPG,Armband,"Armband (Bazuband), One of a Pair",,19th century,"Gold, gemstones, and enamel","Ornament: H. 2-1/4""  (5.7 cm)
                     W. 3-5/8"" (9.3 cm)",,Jewelry,"Bazubands, worn on the upper bicep, were an important element in a suite of jewelry worn by men. This object and its mate (15.95.41) have been fabricated from gold and a number of gemstones which have been set in kundan style and foiled on the underside of the stone. Using foil covered with a layer of colored lack on the underside of a set gemstone was a common technique which enhanced the color of the jewel, but can deteriorate over time, as in here. The verso of this pair has been beautifully enameled in white, red, green, and gold—a traditional palette from Jaipur.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art?," Armband (Bazuband), One of a Pair", What is the material used to make the art?," Gold, gemstones, and enamel", Where was the art formerly located?, Collection of American artist and designer Lockwood de Forest, What is the primary function of bazubands?, Worn as an important element in a suite of jewelry worn by men on the upper bicep
446740,https://images.metmuseum.org/CRDImages/is/original/15.95.41 and 42_1.jpg,Armband,"Armband (Bazuband), One of a Pair",,19th century,"Gold, gemstones, and enamel","Ornament:  H. 2-1/4""  (5.7 cm)
                      W. 3-5/8"" (9.3 cm)",,Jewelry,"Bazubands, worn on the upper bicep, were an important element in a suite of jewelry worn by men. This object and its mate (15.95.40) have been fabricated from gold and a number of gemstones which have been set in kundan style and foiled on the underside of the stone. Using foil covered with a layer of colored lack on the underside of a set gemstone was a common technique which enhanced the color of the jewel, but can deteriorate over time, as in here. The verso of this pair has been beautifully enameled in white, red, green, and gold—a traditional palette from Jaipur.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the type of art?, Jewelry, What is the title of the art?," Armband (Bazuband), One of a Pair", What materials were used to create the art?," Gold, gemstones, and enamel", When was the art created?, 19th century
446744,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_45.jpg,Armlet,Armlet,,19th century,"Gold, precious stones","H. 2 3/4 in. (7 cm)
D. 1 1/8 in. (7.6 cm)
D. 1 1/8 in. (2.9 cm)",,Jewelry,"This bracelet or bazuband is made from woven gold, and is studded with rubies and a rose-cut diamond. Similar examples are known to have been worn by brides in Maharashtra as part of a suite of bridal jewels adorning the whole body.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the material used to make the armlet?, Gold and precious stones, When is the armlet believed to have been made?, 19th century, Who was the previous owner of the armlet?, Lockwood de Forest, Where was the armlet purchased?, India
446745,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_46.jpg,Bracelet,Bracelet (Kada),,19th century,Gold,"H. 1 1/8 in. (2.9 cm)
D. 5/8 in. (1.6 cm)
Diam. 3 1/2 in. (8.9 cm)",,Jewelry,"Bracelets decorated with confronting animal heads are known from various cultures since antiquity. In India, the terminals of bracelets or anklets are commonly ornamented with makara heads. The makara is a mythic water monster which combines the features of a crocodile, elephant, and fish and is believed to be a protective form.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art object?, Bracelet, What material is the object made of?, Gold, What type of decoration is found on the ends of the bracelet?," Confronting animal heads, specifically makara heads", Who was the previous owner of the ornament?, American artist and designer Lockwood de Forest
446749,https://images.metmuseum.org/CRDImages/is/original/15.95.54.1.jpg,Necklace,Necklace,,18th century,Gold,"Ht. 11 13/16 in. (30 cm)
W. 7 1/16 in. (18 cm)
D. 9/16 in. (1.5 cm)
L. 37 1/2 in. (95.3 cm)",Jaipur,Jewelry,"Vibrant colored enamels (meenakari) ornament both sides of this kanthla, or necklace with fan shaped pendants. While the front is a deep blue color, the verso depicts red and green floral motifs on a white ground. Encrusted also with gemstones in a kundan gold setting, the forms and techniques of this necklace are typical of 18–19th century Jaipur.", What is the name of the art object?, Necklace, In what century was the necklace created?, 18th century, What materials were used to make the necklace?," Gold, enamels, and gemstones", What is the size of the necklace?, Ht. 11 13/16 in. (30 cm); W. 7 1/16 in. (18 cm); D. 9/16 in. (1.5 cm); L. 37 1/2 in. (95.3 cm)
446750,https://images.metmuseum.org/CRDImages/is/original/15.95.55_1.jpg,Necklace,Necklace,,18th–19th century,"Gold, emeralds, spinels, pearls","Ht. 12 3/16 in. (31 cm)
W.  8 1/4 in. (21 cm)
D. 1 in. (2.5 cm)
L. 22 1/2 in. (57.2 cm)",,Jewelry,"This necklace is comprised of five tawiz, or amulet shaped pendants, fabricated from gold filigree, and embellished with gemstones and pearls. Clusters of round emeralds, spinels and pearls are suspended from each pendant, giving articulation to this jewel with the movement of the wearer. This form has been referred to as a kaliganthi, a necklace given to a bride on her wedding day by her in-laws.", What is the name of the art?, Necklace, What is the necklace made of?," Gold, emeralds, spinels, pearls", What is the approximate date of the necklace?, 18th–19th century, What is the significance of the necklace?," It is a kaliganthi, a necklace given to a bride on her wedding day by her in-laws."
446753,https://images.metmuseum.org/CRDImages/is/original/15.95.59.jpg,Necklace,Necklace,,18th–19th century,"Gold, jewels","Ht. 9 1/16 in. (23 cm)
W. 6 5/16 in. (16 cm)
D. 3/8 in. (1 cm)",,Jewelry,"This type of necklace would have been worn snug around the throat, and was known as a guluband. As part of a larger suite of jewels, the colorful gemstones and gold in this necklace would have contributed to a vibrant ensemble of ornament.", What is the name of the jewelry?, Necklace, What materials were used to create the necklace?, Gold and jewels, What type of necklace is it known as?, Guluband, When was the necklace likely made?, 18th–19th century
446755,https://images.metmuseum.org/CRDImages/is/original/DP233244.jpg,Necklace,Necklace with Filigree and Beads,,late 18th–early 19th century,Gold,"H.  8 11/16  in. (22 cm)
W.  7 7/8 in. (20 cm)
Th. 3/8 in. (1 cm)
L. 18 in. (45.7 cm)",,Jewelry,"The large fan-shaped pendant at the center of this necklace is decorated with flowers and scrolling motifs in gold.  It is bordered by twelve finely filigreed amulets on either side, with clusters of small gold beads hanging below each.  Together, these components form a substantial yet delicate piece of jewelry that would have been worn by a wealthy patron.", What is the name of the art?, Necklace with Filigree and Beads, To what period does the necklace belong?, late 18th–early 19th century, What is the necklace made of?, Gold, Describe the central pendant of the necklace.," The large fan-shaped pendant is decorated with flowers and scrolling motifs in gold, bordered by twelve finely filigreed amulets on either side, with clusters of small gold beads hanging below each."
446761,https://images.metmuseum.org/CRDImages/is/original/15.95.71.jpg,Head ornament,Head Ornament,,19th century,"Gold, jewels",,Chennai (Madras),Jewelry,"One of several ornaments that would have adorned the head of a bride or classical dancer, this jewel would have rested on the forehead and followed the contour of the hairline, the small pendants serving as a jeweled fringe.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art object?, Head Ornament, What period is it from?, 19th century, What is the medium of the art object?, Gold and jewels, Where was it formerly kept?, In the collection of American artist and designer Lockwood de Forest
446762,https://images.metmuseum.org/CRDImages/is/original/15.95.72front.jpg,Necklace,Seven-Stranded Necklace (Satlari),,18th century,"Gold, enamel, pearls, rock crystal","Ornament:  H. 12 1/4 in. (31.2 cm)
                      W. 7 1/2 in. (19 cm)",Hyderabad,Jewelry,"This seven stranded necklace, or satlari, was made in the city of Hyderabad in the Deccan region of India.  Each strand holds a central pendant composed of a pearl drop surrounded by red, green, and colorless stones and enamel.  In the early nineteenth century, this type of necklace was adapted by the French jewelry company Cartier, which began producing satlaris for wealthy Indian patrons.", What is the name of this art?, Seven-Stranded Necklace (Satlari), When was this necklace made?, 18th century, What is this necklace made of?," Gold, enamel, pearls, and rock crystal", Where was this necklace made?, Hyderabad
446763,https://images.metmuseum.org/CRDImages/is/original/15.95.73front.JPG,Necklace,Necklace,,18th–19th century,"Gold, pearls, precious and semi-precious stones","H. 5 7/8 in. (15 cm)
H. 5 7/8 in. (15 cm)
D. 3/8 in. (1 cm)
L. 19 in. (48.26 cm)",Jaipur,Jewelry,"The practice of inlaying hardstones with gold and precious gemstones was a common artistic technique in jeweled arts from Mughal India. The seven rock crystal pendants of this necklace have been crafted in this technique, and here are inlaid with gold, rubies, sapphires, and quartz. Tiny seed pearls and emerald beads are suspended from the pendants, and the verso is ornamented with high quality meenakari, or enameling with red and green on a white ground. This particular palette was a specialty of Jaipur, the probable location where this piece was made.", What is the primary medium of the necklace?," Gold, pearls, precious and semi-precious stones", In what century was the necklace likely created?, 18th–19th century, What technique was used to create the seven rock crystal pendants on the necklace?, Gold and precious gemstone inlay, What color palette was characteristic of the meenakari ornamentation on the verso of the necklace?," Red, green, and white on a white ground"
446766,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_76.jpg,Armband,Armband (Bazuband),,19th century,"Gold, silk thread and glass; hammered in relief and chased",L. 19 in. (48.3 cm),,Jewelry,"Jewels worn on the upper bicep are known as bazuband and are among the most well-known adornments from India. This example is fabricated of gold, and features a small green piece of glass at its center, in emulation of an emerald. The red silk threads would be tied around the arm of the wearer to hold the jewel fast in place.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of item is being described?, Armband, When was this armband created?, 19th century, What are the materials used in its construction?," Gold, silk thread, and glass", Who was the former owner of this armband?, Lockwood de Forest
446767,https://images.metmuseum.org/CRDImages/is/original/DP-14795-004.jpg,Necklace,Necklace,,18th–19th century,"Gold, diamonds, colorless sapphires, rubies, imitation emeralds (colorless rock crystal over green foil), and pearls","Ht. 11 13/16 in. (30 cm)
W. 5 7/8  in. (15 cm)
D. 13/16 in. (2 cm)",,Jewelry,"Pictorial representations and literary accounts of jewelry from the Mughal era abound, for the wearing and appreciation of jewels and gems was considered an art in itself. The memoirs of Jahangir, for instance, record his decisions to wear certain pearls or rubies for important occasions, but the practice was not limited to royalty alone—travelers to India noted the quantity of jewelry worn by all members of society. Because very few of these pieces survive, most seventeenth-century jewelry is known only from paintings and written descriptions; extant pieces from the eighteenth and nineteenth centuries are much more numerous. This particular necklace, composed of diamonds, rubies, pearls, and imitation emeralds set in gold, might represent work for a new class of patrons, the British in India.", What type of art is it?, Jewelry, What is the necklace made of?," Gold, diamonds, colorless sapphires, rubies, imitation emeralds, and pearls", When was the necklace created?, 18th–19th century, What is the significance of jewelry in Mughal culture?," The wearing and appreciation of jewelry was considered an art in itself, and it was worn by all members of society."
446768,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_78.jpg,Bracelet,Bracelet,,19th century,Gold,L. 13 in. (33 cm),,Jewelry,"This bazuband or arm band is decorated on the exterior with bud-shaped ornaments. These small motifs can be interpreted as symbols of reproduction and fertility. Along with other plant components such as flowers, leaves, and vines, such forms are often found ornamenting Indian jewelry.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of object is described?, Bracelet, What is the material of the bracelet?, Gold, What is the symbolism of the ornaments on the bracelet?, Reproduction and fertility, Who previously owned the bracelet?, Lockwood de Forest
446771,https://images.metmuseum.org/CRDImages/is/original/15.95.103front.jpg,Necklace,Necklace with Embellished Amulet Forms,,18th century,"Gold, precious stones","Ht. 7 1/2 in. (19 cm)
W. 7 1/16 in. (18 cm)
D. 13/16 in. (2 cm)",,Jewelry,"This necklace is comprised of four tawiz, or amulet shaped pendants, fabricated from gold filigree, and embellished with gemstones and pearls. Clusters of gold beads are suspended from each pendant, giving articulation to this jewel with the movement of the wearer. This form has been referred to as a kaliganthi, a necklace given to a bride on her wedding day by her in-laws.", What is the name of the object?, Necklace, What materials were used to create this necklace?," Gold, precious stones", What is the approximate size of the necklace?," Ht. 7 1/2 in. (19 cm), W. 7 1/16 in. (18 cm), D. 13/16 in. (2 cm)", What is the cultural significance of this type of necklace?," It is a ""kaliganthi,"" a type of necklace traditionally given to brides by their in-laws on their wedding day."
446773,https://images.metmuseum.org/CRDImages/is/original/DP-14795-006.jpg,Ornament,Head Ornament,,19th century,"Gold, glass, turquoise","Ht. 7 7/8 in. (20 cm)
W. 10 5/8 in. (27 cm)
D. 1 9/16 in. (4 cm)",,Jewelry,"This head ornament would attach at the top of the head, and the flower and bell-shaped ornaments known as karnaphul jhumka would hang along the side of the ear. The karnaphul, or floral stud, is a typical shape for an ear ornament, referencing the natural world so favored in Indian jeweled arts. The hanging bell-shaped jhumka pendants would move gracefully as the wearer walked, moved, and danced.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many items while traveling in India between 1879–1881. He collected many different examples of jewelry from India, including several of the same type. Today, his assemblage in the Met serves as a near-comprehensive study collection of Indian jewelry from the late nineteenth century.", What is the name of the art?, Head Ornament, From what century is the art from?, 19th century, What materials is the art made from?," Gold, glass, and turquoise", Where was the art formerly located?, In the collection of American artist and designer Lockwood de Forest
446775,https://images.metmuseum.org/CRDImages/is/original/15.95.110_2.jpg,Ornament,Ornament,,19th century,"Gold, beryl; enameled on verso","H. 3 7/16 in. (8.7 cm)
W. 3 1/16 in. (7.8 cm)
D. 2 3/8 in. (6 cm)",,Jewelry,"This large ornament likely once served as a pendant in a necklace. The central gemstone is a light green beryl, which was originally foiled on the backside to create a vibrant and deep green color. The foil has since deteriorated, leaving an uneven appearance in the center stone. Red, green, and white enameling (meenakari) on the backside enhances the floral shape of this ornament.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the artifact?, Ornament, When was the Ornament created?, 19th century, What materials were used to create the Ornament?," Gold, beryl, and enamel", What was the original purpose of the Ornament?, Likely a pendant in a necklace
446778,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_113.jpg,Earring,"Earring, One of a Set of Five",,19th century,Gold,L. 1 1/8 in. (2.9 cm),,Jewelry,"This earring, one of a set of five, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What material is the earring made of?, Gold, What is the size of the earring?, L. 1 1/8 in. (2.9 cm), When was the earring made?, 19th century, What was the inspiration for the earring's design?," Floral motifs, referencing the ancient practice of making ephemeral adornments from flowers"
446779,https://images.metmuseum.org/CRDImages/is/original/15.95.113_114_115_116_117.jpg,Earring,"Earring, One of a Set of Five",,19th century,Gold,L. 1 1/8 in. (2.9 cm),,Jewelry,"This earring, one of a set of five, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of object is described?, Earring, What is the medium used to create the earring?, Gold, When was the earring made?, 19th century, What collection was the earring previously a part of?," Lockwood de Forest's collection of Indian jewelry, currently housed at the Met"
446780,https://images.metmuseum.org/CRDImages/is/original/15.95.113_114_115_116_117.jpg,Earring,"Earring, One of a Set of Five",,19th century,Gold,L. 1 1/8 in. (2.9 cm),,Jewelry,"This earring, one of a set of five, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the object's name?, Earring, When was the object made?, 19th century, What material is the object made from?, Gold, What are some of the decorative motifs used on the object?," Floral motifs, three-petalled flowers, and a cast rosette"
446781,https://images.metmuseum.org/CRDImages/is/original/15.95.113_114_115_116_117.jpg,Earring,"Earring, One of a Set of Five",,19th century,Gold,L. 1 1/8 in. (2.9 cm),,Jewelry,"This earring, one of a set of five, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the object's type?, Earring, When was the earring created?, 19th century, What is the earring made of?, Gold, Where were the earrings originally obtained?, India
446782,https://images.metmuseum.org/CRDImages/is/original/31187.jpg,Earring,"Earring, One of a Set of Five",,19th century,Gold,L. 1 1/8 in. (2.9 cm),,Jewelry,"This earring, one of a set of five, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art object?," Earring, One of a Set of Five", When was the art object created?, 19th century, What is the medium used in the artwork?, Gold, What is the significance of the floral motifs in the earring?, They reference the ancient practice of making ephemeral adornments from flowers.
446783,https://images.metmuseum.org/CRDImages/is/original/15.95.118-121.jpg,Earring,"Earring, One of a Set of Four",,19th century,Gold,L. 1 1/8 in. (2.86 cm),,Jewelry,"This earring, one of a set of four, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art piece?," Earring, One of a Set of Four", When was the art piece created?, 19th century, What is the medium used to create the art piece?, Gold, Who created the art piece?, Artist's name is not mentioned in the description.
446784,https://images.metmuseum.org/CRDImages/is/original/15.95.118-121.jpg,Earring,"Earring, One of a Set of Four",,19th century,Gold,L. 1 1/8 in. (2.86 cm),,Jewelry,"This earring, one of a set of four, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art?," Earring, One of a Set of Four", What material is the earring made of?, Gold, What are the floral motifs found on the earring?," Flat, three-petalled flowers and a cast rosette", Who formerly owned the earring?, Lockwood de Forest
446785,https://images.metmuseum.org/CRDImages/is/original/15.95.118-121.jpg,Earring,"Earring, One of a Set of Four",,19th century,Gold,L. 1 1/8 in. (2.86 cm),,Jewelry,"This earring, one of a set of four, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of art is being described?, Earring, From what century does the art piece originate?, 19th century, What are the main materials used in the creation of the earring?, Gold, What is the significance of the floral motifs on the earring?, They reference the ancient practice of making ephemeral adornments from flowers.
446786,https://images.metmuseum.org/CRDImages/is/original/15.95.118-121.jpg,Earring,"Earring, One of a Set of Four",,19th century,Gold,L. 1 1/8 in. (2.86 cm),,Jewelry,"This earring, one of a set of four, is fabricated of gold and contains several floral motifs. Flat, three-petalled flowers make up the pendants at the base of the hoop, while a cast rosette can be seen at the front of the earring. These motifs reference the ancient practice of making ephemeral adornments from flowers.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of object is this?, Earring, What is the title of the art piece?," Earring, One of a Set of Four", What materials were used to create this art piece?, Gold, What century was this art piece created in?, 19th century
446787,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_122.jpg,Ornament,"Hair / Ear Ornament, One of a Pair",,19th century,"Gold and silver, imitation pearl","Ht. 5 1/8 in. (13 cm)
W. 1 9/16 in. (4 cm)
D. 1 3/16 in. (3 cm)",,Jewelry,"Ornaments such as these were worn as part of an elaborate ensemble of jewels adorning the head and body of a woman. The pearl-studded, bell-shaped pendants are known as jhumkas, and are commonly found on ear ornaments of this type. The hooks surmounting these jewels would have attached to the hair or headband of the wearer, and hung along the side of her face, resting near the ears.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art?," Hair / Ear Ornament, One of a Pair", When was the art created?, 19th century, What materials were used to make the art?," Gold and silver, imitation pearl", What is the purpose of the art?, The ornaments were worn as part of an elaborate ensemble of jewels adorning the head and body of a woman.
446788,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_123.jpg,Ornament,"Hair / Ear Ornament, One of a Pair",,18th–19th century,"Gold, silver","Ht. 5 1/8 in. (13 cm)
W. 1 9/16 in. (4 cm)
D. 1 3/16 in. (3 cm)",,Jewelry,"Ornaments such as these were worn as part of an elaborate ensemble of jewels adorning the head and body of a woman. The pearl-studded, bell-shaped pendants are known as jhumkas, and are commonly found on ear ornaments of this type. The hooks surmounting these jewels would have attached to the hair or headband of the wearer, and hung along the side of her face, resting near the ears.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What is the name of the art?," Hair / Ear Ornament, One of a Pair", What is the medium used to create the art?, Gold and silver, What is the purpose of the art?, To adorn the head and body of a woman as an elaborate ensemble of jewels, Where was the art originally from?, India
446792,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_129.jpg,Earring,"Earring, One of a Pair",,19th century,Gold and glass beads,"Ht. 2 3/8 in. (6 cm)
W. 1 9/16 in. (4 cm)
D. 13/16 in. (2 cm)",,Jewelry,"The jhumkas or bell-shaped pendants on the lower part of these jewels are typical of earrings or ear ornaments. Traditionally, earrings were an important element of married women's adornment in India, and widows could be identified by their bare earlobes.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What are the dimensions of the earrings?, Ht. 2 3/8 in. (6 cm)\r\nW. 1 9/16 in. (4 cm)\r\nD. 13/16 in. (2 cm), What is the material used to make the earrings?, Gold and glass beads, What is the significance of earrings in Indian culture?," Traditionally, earrings were an important element of married women's adornment in India, and widows could be identified by their bare earlobes.", Who was the former owner of the earrings?, American artist and designer Lockwood de Forest
446793,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_130.jpg,Earring,"Earring, One of a Pair",,19th century,Gold and glass beads,"Ht. 2 3/8 in. (6 cm)
W. 1 9/16 in. (4 cm)
D. 13/16 in. (2 cm)",,Jewelry,"The jhumkas or bell-shaped pendants on the lower part of these jewels are typical of earrings or ear ornaments. Traditionally, earrings were an important element of married women's adornment in India, and widows could be identified by their bare earlobes.These ornaments were formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. Today, his collection of Indian jewelry in the Met serves as a near-comprehensive assemblage of late nineteenth century bodily adornment.", What type of ornament is described in the passage?, Earring, When were the earrings made?, 19th century, What materials are the earrings made of?, Gold and glass beads, Who was the former owner of the earrings?, Lockwood de Forest
446795,https://images.metmuseum.org/CRDImages/is/original/15.95.132_133.jpg,Pendant,"Pendant (Jkumka), One of a Pair",,19th century,Gold,,,Jewelry,"The bell-shaped form of these jewels is known as jhumka. Typically, these are found on ear ornaments, and the loop at top indicates how they originally would have been attached to a chain or a hook. The jewels would have been suspended near the ears of the wearer, and the dangling bead pendants at the bottom would have made a soft noise as the wearer moved.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many jeweled objects while traveling in India between 1879–1881. He collected many different examples of jewelry from India, including several of the same type. Today, his assemblage in the Met serves as a near-comprehensive study collection of Indian jewelry from the late nineteenth century.", What is the name of the art?," Pendant (Jkumka), One of a Pair", In what century was the art created?, 19th century, What is the art made of?, Gold, What is the significance of the bell-shaped form of the art?, It is known as jhumka and is typically found on ear ornaments.
446796,https://images.metmuseum.org/CRDImages/is/original/15.95.132_133.jpg,Pendant,"Pendant (Jkumka), One of a Pair",,18th–19th century,Gold,,,Jewelry,"The bell-shaped form of these jewels is known as jhumka. Typically, these are found on ear ornaments, and the loop at top indicates how they originally would have been attached to a chain or a hook. The jewels would have been suspended near the ears of the wearer, and the dangling bead pendants at the bottom would have made a soft noise as the wearer moved.This ornament was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many items while traveling in India between 1879–1881. He collected many different examples of jewelry from India, including several of the same type. Today, his assemblage in the Met serves as a near-comprehensive study collection of Indian jewelry from the late nineteenth century.", What type of art is it?, Pendant, What is the title of the art?," Pendant (Jkumka), One of a Pair", When was the art created?, 18th–19th century, What is the material used to make the art?, Gold
446797,https://images.metmuseum.org/CRDImages/is/original/LC-15_95_134.jpg,Pendant,Pendant,,19th century,"Gold, ruby, emerald","Ht. 3 3/8 in. (8.5 cm)
W. 2 5/8 in. (6.7 cm)
D. 1/2 in. (1.3 cm)
Wt. 2.2 oz. (62.4 g)",,Jewelry,"This beautiful filigree and jewel encrusted pendant would have been the focal point of a necklace worn by a woman in India. On the front, fine strands of filigree have been coiled into patterns, topped with small clusters of granulations, set with rubies and emeralds. The back side is also decorated with engraved floral patterns in gold.This jewel was formerly in the collection of American artist and designer Lockwood de Forest (1850–1932) who purchased many items while traveling in India between 1879–1881. He collected many different examples of jewelry from India, including several of the same type. Today, his assemblage in the Met serves as a near-comprehensive study collection of Indian jewelry from the late nineteenth century.", What is the name of the art?, Pendant, When was the art created?, 19th century, What materials were used to create the pendant?," Gold, ruby, and emerald", Who was the former owner of the pendant?, Lockwood de Forest
